Run 1; Fc 2-1; Cy 7; MZ-1; Conc 2.29 nM_X 	Run 1; Fc 2-1; Cy 7; MZ-1; Conc 2.29 nM_Y 	Run 1; Fc 2-1; Cy 8; MZ-1; Conc 6.86 nM_X 	Run 1; Fc 2-1; Cy 8; MZ-1; Conc 6.86 nM_Y 	Run 1; Fc 2-1; Cy 9; MZ-1; Conc 20.6 nM_X 	Run 1; Fc 2-1; Cy 9; MZ-1; Conc 20.6 nM_Y 	Run 1; Fc 2-1; Cy 10; MZ-1; Conc 61.7 nM_X 	Run 1; Fc 2-1; Cy 10; MZ-1; Conc 61.7 nM_Y 	Run 1; Fc 2-1; Cy 11; MZ-1; Conc 185 nM_X 	Run 1; Fc 2-1; Cy 11; MZ-1; Conc 185 nM_Y 	Run 1; Fc 2-1; Cy 12; MZ-1; Conc 556 nM_X 	Run 1; Fc 2-1; Cy 12; MZ-1; Conc 556 nM_Y 	Run 1; Fc 2-1; Cy 13; MZ-1; Conc 1667 nM_X 	Run 1; Fc 2-1; Cy 13; MZ-1; Conc 1667 nM_Y 	Run 1; Fc 2-1; Cy 14; MZ-1; Conc 5000 nM_X 	Run 1; Fc 2-1; Cy 14; MZ-1; Conc 5000 nM_Y 	Run 1; Fc 2-1; Cy 16; MZ-1; Conc 2.29 nM_X 	Run 1; Fc 2-1; Cy 16; MZ-1; Conc 2.29 nM_Y 	Run 1; Fc 2-1; Cy 17; MZ-1; Conc 6.86 nM_X 	Run 1; Fc 2-1; Cy 17; MZ-1; Conc 6.86 nM_Y 	Run 1; Fc 2-1; Cy 18; MZ-1; Conc 20.6 nM_X 	Run 1; Fc 2-1; Cy 18; MZ-1; Conc 20.6 nM_Y 	Run 1; Fc 2-1; Cy 19; MZ-1; Conc 61.7 nM_X 	Run 1; Fc 2-1; Cy 19; MZ-1; Conc 61.7 nM_Y 	Run 1; Fc 2-1; Cy 20; MZ-1; Conc 185 nM_X 	Run 1; Fc 2-1; Cy 20; MZ-1; Conc 185 nM_Y 	Run 1; Fc 2-1; Cy 21; MZ-1; Conc 556 nM_X 	Run 1; Fc 2-1; Cy 21; MZ-1; Conc 556 nM_Y 	Run 1; Fc 2-1; Cy 22; MZ-1; Conc 1667 nM_X 	Run 1; Fc 2-1; Cy 22; MZ-1; Conc 1667 nM_Y 	Run 1; Fc 2-1; Cy 23; MZ-1; Conc 5000 nM_X 	Run 1; Fc 2-1; Cy 23; MZ-1; Conc 5000 nM_Y 	
-56.1000022888184 	-0.019531786441803 	-56.2000007629395 	-0.072265625 	-56.2000007629395 	-0.041015625 	-56.2000007629395 	-0.080078125 	-56.2000007629395 	-0.025390625 	-56.2000007629395 	0.021484375 	-56.2000007629395 	-0.048828125 	-56.2000007629395 	-0.033203125 	-56.1000022888184 	-0.011719286441803 	-56.2000007629395 	0.037109375 	-56.2000007629395 	-0.119140625 	-56.2000007629395 	-0.033203125 	-56.1000022888184 	-0.019531786441803 	-56.2000007629395 	-0.166015625 	-56.1000022888184 	0.019530713558197 	-56.2000007629395 	0.025390625 	
-56 	-0.021484375 	-56.0999984741211 	-0.0546875 	-56.0999984741211 	-0.0234375 	-56.0999984741211 	-0.078125 	-56.0999984741211 	-0.0234375 	-56.0999984741211 	0.03515625 	-56.0999984741211 	-0.046875 	-56.0999984741211 	-0.01953125 	-56 	-0.021484375 	-56.1000022888184 	0.050780713558197 	-56.1000022888184 	-0.113281786441803 	-56.0999984741211 	-0.00390625 	-56 	-0.037109375 	-56.0999984741211 	-0.1484375 	-56 	0.017578125 	-56.0999984741211 	0.0234375 	
-55.9000015258789 	-0.0312499403953552 	-56 	-0.044921875 	-56 	-0.025390625 	-56 	-0.095703125 	-56 	-0.037109375 	-56 	0.017578125 	-56 	-0.052734375 	-56 	-0.021484375 	-55.9000015258789 	-0.0273436903953552 	-56 	0.044921875 	-56 	-0.107421875 	-56 	-0.009765625 	-55.9000015258789 	-0.0312499403953552 	-56 	-0.150390625 	-55.9000015258789 	0.0117188096046448 	-56 	0.017578125 	
-55.7999992370605 	-0.03515625 	-55.8999977111816 	-0.046875 	-55.8999977111816 	-0.02734375 	-55.8999977111816 	-0.1015625 	-55.8999977111816 	-0.02734375 	-55.8999977111816 	0.01171875 	-55.8999977111816 	-0.06640625 	-55.8999977111816 	-0.0234375 	-55.7999992370605 	-0.03125 	-55.9000015258789 	0.0351563096046448 	-55.9000015258789 	-0.109374940395355 	-55.8999977111816 	-0.01171875 	-55.7999992370605 	-0.02734375 	-55.8999977111816 	-0.1640625 	-55.7999992370605 	0 	-55.8999977111816 	0.01171875 	
-55.7000007629395 	-0.037109375 	-55.7999992370605 	-0.0546875 	-55.7999992370605 	-0.03515625 	-55.7999992370605 	-0.10546875 	-55.7999992370605 	-0.0390625 	-55.7999992370605 	0.01171875 	-55.7999992370605 	-0.06640625 	-55.7999992370605 	-0.015625 	-55.7000007629395 	-0.033203125 	-55.8000030517578 	0.02734375 	-55.8000030517578 	-0.10546875 	-55.7999992370605 	-0.01953125 	-55.7000007629395 	-0.044921875 	-55.7999992370605 	-0.1640625 	-55.7000007629395 	0.005859375 	-55.7999992370605 	0.01171875 	
-55.6000022888184 	-0.0332034230232239 	-55.7000007629395 	-0.052734375 	-55.7000007629395 	-0.033203125 	-55.7000007629395 	-0.107421875 	-55.7000007629395 	-0.044921875 	-55.7000007629395 	0.013671875 	-55.7000007629395 	-0.064453125 	-55.7000007629395 	-0.009765625 	-55.6000022888184 	-0.0371096730232239 	-55.7000007629395 	0.029296875 	-55.7000007629395 	-0.103515625 	-55.7000007629395 	-0.017578125 	-55.6000022888184 	-0.0253909230232239 	-55.7000007629395 	-0.162109375 	-55.6000022888184 	0.0136715769767761 	-55.7000007629395 	0.005859375 	
-55.5 	-0.033203125 	-55.5999984741211 	-0.048828125 	-55.5999984741211 	-0.025390625 	-55.5999984741211 	-0.111328125 	-55.5999984741211 	-0.037109375 	-55.5999984741211 	0.013671875 	-55.5999984741211 	-0.052734375 	-55.5999984741211 	-0.009765625 	-55.5 	-0.037109375 	-55.6000022888184 	0.0253903269767761 	-55.6000022888184 	-0.107422173023224 	-55.5999984741211 	-0.013671875 	-55.5 	-0.037109375 	-55.5999984741211 	-0.150390625 	-55.5 	0.021484375 	-55.5999984741211 	-0.005859375 	
-55.4000015258789 	-0.0234378576278687 	-55.5 	-0.064453125 	-55.5 	-0.017578125 	-55.5 	-0.119140625 	-55.5 	-0.041015625 	-55.5 	0.021484375 	-55.5 	-0.064453125 	-55.5 	-0.005859375 	-55.4000015258789 	-0.0273441076278687 	-55.5 	0.025390625 	-55.5 	-0.099609375 	-55.5 	-0.021484375 	-55.4000015258789 	-0.0273441076278687 	-55.5 	-0.158203125 	-55.4000015258789 	0.0273433923721313 	-55.5 	-0.009765625 	
-55.2999992370605 	-0.029296875 	-55.3999977111816 	-0.05078125 	-55.3999977111816 	-0.0078125 	-55.3999977111816 	-0.11328125 	-55.3999977111816 	-0.03515625 	-55.3999977111816 	0.03125 	-55.3999977111816 	-0.06640625 	-55.3999977111816 	-0.01171875 	-55.2999992370605 	-0.017578125 	-55.4000015258789 	0.0390621423721313 	-55.4000015258789 	-0.101562857627869 	-55.3999977111816 	-0.015625 	-55.2999992370605 	-0.021484375 	-55.3999977111816 	-0.1640625 	-55.2999992370605 	0.033203125 	-55.3999977111816 	0 	
-55.2000007629395 	-0.03515625 	-55.2999992370605 	-0.041015625 	-55.2999992370605 	-0.009765625 	-55.2999992370605 	-0.107421875 	-55.2999992370605 	-0.029296875 	-55.2999992370605 	0.029296875 	-55.2999992370605 	-0.068359375 	-55.2999992370605 	-0.009765625 	-55.2000007629395 	-0.03515625 	-55.3000030517578 	0.0449216365814209 	-55.3000030517578 	-0.0917971134185791 	-55.2999992370605 	-0.017578125 	-55.2000007629395 	-0.02734375 	-55.2999992370605 	-0.158203125 	-55.2000007629395 	0.02734375 	-55.2999992370605 	0.005859375 	
-55.1000022888184 	-0.0292971134185791 	-55.2000007629395 	-0.05859375 	-55.2000007629395 	-0.0078125 	-55.2000007629395 	-0.12109375 	-55.2000007629395 	-0.03515625 	-55.2000007629395 	0.015625 	-55.2000007629395 	-0.07421875 	-55.2000007629395 	-0.015625 	-55.1000022888184 	-0.0292971134185791 	-55.2000007629395 	0.02734375 	-55.2000007629395 	-0.09375 	-55.2000007629395 	-0.0234375 	-55.1000022888184 	-0.0214846134185791 	-55.2000007629395 	-0.16015625 	-55.1000022888184 	0.0332028865814209 	-55.2000007629395 	0 	
-55 	-0.029296875 	-55.0999984741211 	-0.056640625 	-55.0999984741211 	-0.009765625 	-55.0999984741211 	-0.115234375 	-55.0999984741211 	-0.029296875 	-55.0999984741211 	0.017578125 	-55.0999984741211 	-0.072265625 	-55.0999984741211 	-0.009765625 	-55 	-0.029296875 	-55.1000022888184 	0.0332028865814209 	-55.1000022888184 	-0.0878908634185791 	-55.0999984741211 	-0.009765625 	-55 	-0.021484375 	-55.0999984741211 	-0.154296875 	-55 	0.029296875 	-55.0999984741211 	0.009765625 	
-54.9000015258789 	-0.0253907740116119 	-55 	-0.060546875 	-55 	-0.009765625 	-55 	-0.115234375 	-55 	-0.029296875 	-55 	0.005859375 	-55 	-0.068359375 	-55 	-0.009765625 	-54.9000015258789 	-0.0214845240116119 	-55 	0.037109375 	-55 	-0.099609375 	-55 	-0.005859375 	-54.9000015258789 	-0.0292970240116119 	-55 	-0.154296875 	-54.9000015258789 	0.0292967259883881 	-55 	-0.001953125 	
-54.7999992370605 	-0.02734375 	-54.8999977111816 	-0.064453125 	-54.8999977111816 	-0.005859375 	-54.8999977111816 	-0.111328125 	-54.8999977111816 	-0.037109375 	-54.8999977111816 	0.009765625 	-54.8999977111816 	-0.064453125 	-54.8999977111816 	-0.005859375 	-54.7999992370605 	-0.01953125 	-54.9000015258789 	0.0449217259883881 	-54.9000015258789 	-0.0957032740116119 	-54.8999977111816 	-0.001953125 	-54.7999992370605 	-0.02734375 	-54.8999977111816 	-0.150390625 	-54.7999992370605 	0.01171875 	-54.8999977111816 	0.013671875 	
-54.7000007629395 	-0.037109375 	-54.7999992370605 	-0.06640625 	-54.7999992370605 	-0.0078125 	-54.7999992370605 	-0.10546875 	-54.7999992370605 	-0.01953125 	-54.7999992370605 	0.00390625 	-54.7999992370605 	-0.07421875 	-54.7999992370605 	-0.015625 	-54.7000007629395 	-0.025390625 	-54.8000030517578 	0.0312500596046448 	-54.8000030517578 	-0.0937499403953552 	-54.7999992370605 	-0.015625 	-54.7000007629395 	-0.037109375 	-54.7999992370605 	-0.1640625 	-54.7000007629395 	0.005859375 	-54.7999992370605 	0 	
-54.6000022888184 	-0.0351561903953552 	-54.7000007629395 	-0.072265625 	-54.7000007629395 	-0.005859375 	-54.7000007629395 	-0.115234375 	-54.7000007629395 	-0.033203125 	-54.7000007629395 	-0.005859375 	-54.7000007629395 	-0.076171875 	-54.7000007629395 	-0.021484375 	-54.6000022888184 	-0.0351561903953552 	-54.7000007629395 	0.025390625 	-54.7000007629395 	-0.095703125 	-54.7000007629395 	-0.021484375 	-54.6000022888184 	-0.0390624403953552 	-54.7000007629395 	-0.169921875 	-54.6000022888184 	0.00390630960464478 	-54.7000007629395 	-0.005859375 	
-54.5 	-0.03125 	-54.5999984741211 	-0.0703125 	-54.5999984741211 	-0.00390625 	-54.5999984741211 	-0.12109375 	-54.5999984741211 	-0.03125 	-54.5999984741211 	-0.0078125 	-54.5999984741211 	-0.07421875 	-54.5999984741211 	-0.01953125 	-54.5 	-0.03125 	-54.6000022888184 	0.0195313096046448 	-54.6000022888184 	-0.0976561903953552 	-54.5999984741211 	-0.0234375 	-54.5 	-0.03515625 	-54.5999984741211 	-0.171875 	-54.5 	0.0078125 	-54.5999984741211 	-0.0078125 	
-54.4000015258789 	-0.03515625 	-54.5 	-0.0625 	-54.5 	0 	-54.5 	-0.12890625 	-54.5 	-0.0234375 	-54.5 	-0.00390625 	-54.5 	-0.08203125 	-54.5 	-0.015625 	-54.4000015258789 	-0.04296875 	-54.5 	0.0234375 	-54.5 	-0.0859375 	-54.5 	-0.01953125 	-54.4000015258789 	-0.046875 	-54.5 	-0.17578125 	-54.4000015258789 	0.0078125 	-54.5 	-0.00390625 	
