Run 1; Fc 3-1; Cy 4; 3006; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM_X 	Run 1; Fc 3-1; Cy 4; 3006; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM_Y 	
-31.1000003814697 	0.234899987506651 	
-31 	0.235500010061514 	
-30.8999996185303 	0.216999994852813 	
-30.8000011444092 	0.234500003698486 	
-30.7000007629395 	0.217399995995947 	
-30.6000003814697 	0.215499998095765 	
-30.5 	0.208800004576915 	
-30.3999996185303 	0.19219999921188 	
-30.3000011444092 	0.189000003290857 	
-30.2000007629395 	0.178100002289284 	
-30.1000003814697 	0.187500002029992 	
-30 	0.202400009537087 	
-29.8999996185303 	0.19950000253084 	
-29.8000011444092 	0.214799986461003 	
-29.7000007629395 	0.190799981690361 	
-29.6000003814697 	0.158300026607321 	
-29.5 	0.141799961282231 	
-29.3999996185303 	0.174700051498803 	
-29.3000011444092 	0.0627000333806791 	
-29.2000007629395 	0.191000039674691 	
-29.1000003814697 	0.215799978257564 	
-29 	0.182199999428121 	
-28.8999996185303 	0.194700025938801 	
-28.8000011444092 	0.634499943160336 	
-28.7000007629395 	0.0933999805456551 	
-28.6000003814697 	-0.0977000174534624 	
-28.5 	0.110900006387965 	
-28.3999996185303 	0.131299986696831 	
-28.3000011444092 	0.123900013448292 	
-28.2000007629395 	0.15089999842894 	
-28.1000003814697 	0.144699996042618 	
-28 	0.141599993421551 	
-27.8999996185303 	0.156999996805098 	
-27.8000011444092 	0.166099991081865 	
-27.7000007629395 	0.170800012496329 	
-27.6000003814697 	0.168499972249265 	
-27.5 	0.181100008867361 	
-27.3999996185303 	0.170699997714109 	
-27.3000011444092 	0.163400014545914 	
-27.2000007629395 	0.159799988698069 	
-27.1000003814697 	0.158700010299071 	
-27 	0.153099990271585 	
-26.9000015258789 	0.156799985121324 	
-26.7999992370605 	0.164699999953882 	
-26.7000007629395 	0.170499991087127 	
-26.6000003814697 	0.170200010015833 	
-26.5 	0.168099999140395 	
-26.4000015258789 	0.162399990655103 	
-26.2999992370605 	0.160799998760922 	
-26.2000007629395 	0.161300004485383 	
-26.1000003814697 	0.159699995994742 	
-26 	0.158999991224846 	
-25.9000015258789 	0.162000003052526 	
-25.7999992370605 	0.161600004721549 	
-25.7000007629395 	0.159800012494088 	
-25.6000003814697 	0.156099993517273 	
-25.5 	0.155300012113003 	
-25.4000015258789 	0.152199997188291 	
