Run 1; Fc 2; Cy 3; RAD51; Conc 2.29 6.86 20.58 61.73 185.2 555.6 1667 5000 nM_X 	Run 1; Fc 2; Cy 3; RAD51; Conc 2.29 6.86 20.58 61.73 185.2 555.6 1667 5000 nM_Y 	
-31.5999984741211 	-0.330800377534615 	
-31.4999980926514 	-0.372998715949507 	
-31.3999977111816 	-0.324498873116681 	
-31.2999992370605 	-0.282599127771391 	
-31.1999988555908 	-0.25569926314347 	
-31.0999984741211 	-0.206499493979209 	
-30.9999980926514 	-0.171399599792494 	
-30.8999977111816 	-0.144399651384447 	
-30.7999992370605 	-0.115999657584325 	
-30.6999988555908 	-0.0769998395444418 	
-30.5999984741211 	-0.0467003993981052 	
-30.4999980926514 	-0.0441004104613967 	
-30.3999977111816 	-0.0382004350685747 	
-30.2999992370605 	-0.0317004664429987 	
-30.1999988555908 	-0.023700495101366 	
-30.0999984741211 	-0.0145001173514174 	
-29.9999980926514 	0.0143998406892933 	
-29.8999977111816 	0.0447998241434107 	
-29.7999992370605 	0.0768997547638719 	
-29.6999988555908 	0.104299673890637 	
-29.5999984741211 	0.126299630974245 	
-29.4999980926514 	0.150799640559853 	
-29.3999977111816 	0.172799630498048 	
-29.2999992370605 	0.194899572015856 	
-29.1999988555908 	0.219499555540096 	
-29.0999984741211 	0.232299574970966 	
-28.9999980926514 	0.234699566626659 	
-28.8999977111816 	0.220999534914881 	
-28.7999992370605 	0.21559954825716 	
-28.6999988555908 	0.200399549401482 	
-28.5999984741211 	0.193599522433942 	
-28.4999980926514 	0.200499523925828 	
-28.3999977111816 	0.209099491716188 	
-28.2999992370605 	0.211299378112017 	
-28.1999988555908 	0.203699299847358 	
-28.0999984741211 	0.190399377261201 	
-27.9999980926514 	0.180299497664237 	
-27.8999977111816 	0.175699430750683 	
-27.7999992370605 	0.166799494243605 	
-27.6999988555908 	0.159899510977993 	
-27.5999984741211 	0.151899528049398 	
-27.4999980926514 	0.145599573563231 	
-27.3999977111816 	0.139799164579017 	
-27.2999992370605 	0.131899991036335 	
-27.1999988555908 	0.126899599981698 	
-27.0999984741211 	0.11919961228341 	
-26.9999980926514 	0.112399667930731 	
-26.8999977111816 	0.108799346638989 	
-26.7999992370605 	0.105000009156356 	
-26.6999988555908 	0.100699688195164 	
-26.5999984741211 	0.098599715376622 	
-26.4999980926514 	0.0977996998772142 	
-26.3999977111816 	0.0944993992306991 	
-26.2999992370605 	0.0908000058661855 	
-26.1999988555908 	0.0910997824175865 	
-26.0999984741211 	0.0928997516639356 	
-25.9999980926514 	0.0941997469890339 	
-25.8999977111816 	0.0945995469082845 	
-25.7999992370605 	0.0980000258423388 	
-25.6999988555908 	0.0999997465114575 	
-25.5999984741211 	0.099799778079614 	
-25.4999980926514 	0.0968997967720497 	
-25.3999977111816 	0.0883995475778647 	
-25.2999992370605 	0.0791999736793514 	
-25.1999988555908 	0.0690998338686768 	
-25.0999984741211 	0.0577997838008741 	
-24.9999980926514 	0.0467997767445922 	
-24.8999977111816 	0.0362995773321018 	
-24.7999992370605 	0.0278000071521092 	
-24.6999988555908 	0.0177998107901658 	
-24.5999984741211 	0.0100998467423778 	
-24.4999980926514 	0.00379994973991415 	
-24.3999977111816 	0.00379989252178348 	
-24.2999992370605 	0.00110002698784228 	
-24.1999988555908 	0.0012999734863115 	
-24.0999984741211 	0.000699992466252297 	
-23.9999980926514 	0.000699981974321418 	
-23.8999977111816 	0.000899945735000074 	
-23.7999992370605 	-0.000299985505989753 	
-23.6999988555908 	-0.00149999599670991 	
-23.5999984741211 	-0.0016000329014787 	
-23.4999980926514 	-0.00130002984951716 	
-23.3999977111816 	-0.00200008030151366 	
-23.2999992370605 	-0.00290002136171097 	
-23.1999988555908 	-0.00310001831167028 	
-23.0999984741211 	-0.00449995937378844 	
-22.9999980926514 	-0.0017999888441409 	
-22.8999977111816 	0.000299991512292763 	
-22.7999992370605 	0.0012000277529296 	
-22.6999988555908 	0.00149999084533192 	
-22.5999984741211 	0.00149994716412039 	
-22.4999980926514 	0.00089998951079906 	
-22.3999977111816 	0.000499936006235657 	
-22.2999992370605 	-0.000100024699349888 	
-22.1999988555908 	0.000399978351197205 	
-22.0999984741211 	-3.8911821320653E-08 	
-21.9999980926514 	-0.000499989797390299 	
-21.8999977111816 	0.00070001325730118 	
-21.7999992370605 	0.00229997024507611 	
-21.6999988555908 	0.00339996042021085 	
-21.5999984741211 	0.0035999634746986 	
-21.4999980926514 	0.00350001936021727 	
-21.3999977111816 	0.00400001935850014 	
-21.2999992370605 	0.00510000276335631 	
-21.1999988555908 	0.00519997262745164 	
-21.0999984741211 	0.00589999227304361 	
-20.9999980926514 	0.00569996213744162 	
-20.8999977111816 	0.0065999651887978 	
-20.7999992370605 	0.00749999465915607 	
-20.6999988555908 	0.00869997129484545 	
-20.5999984741211 	0.00900001735499245 	
-20.4999980926514 	0.0100000105849176 	
-20.3999977111816 	0.0107000136376882 	
-20.2999992370605 	0.0115000234582112 	
-20.1999988555908 	0.0128999902735814 	
-20.0999984741211 	0.0140000099163444 	
-19.9999980926514 	0.0148999669072509 	
-19.8999977111816 	0.0158999435407168 	
-19.7999992370605 	0.0164999730113777 	
-19.6999988555908 	0.0176999994255311 	
-19.5999984741211 	0.0184999594675901 	
-19.4999980926514 	0.0186999723446206 	
-19.3999977111816 	0.0200000085824286 	
-19.2999992370605 	0.021299975393049 	
-19.1999988555908 	0.0221999950408645 	
-19.0999984741211 	0.0226000146867591 	
-18.9999980926514 	0.0236000079166843 	
-18.8999977111816 	0.0241999581339769 	
-18.7999992370605 	0.0241999777790625 	
-18.6999988555908 	0.0227999672897568 	
-18.5999984741211 	0.0222999801626429 	
