Run 1; Fc 6-1; Cy 3; Sample 1; Conc 3.9 15.6 62.5 250 1000 4000 nM_X 	Run 1; Fc 6-1; Cy 3; Sample 1; Conc 3.9 15.6 62.5 250 1000 4000 nM_Y 	Run 1; Fc 6-1; Cy 3; Sample 1; Conc 3.9 15.6 62.5 250 1000 4000 nM; Fitted_X 	Run 1; Fc 6-1; Cy 3; Sample 1; Conc 3.9 15.6 62.5 250 1000 4000 nM; Fitted_Y 	
-30.7000007629395 	-2.45959190712165 	-30.7000007629395 	0 	
-30.6000003814697 	-2.6092987937991 	-30.6000003814697 	0 	
-30.5 	-2.43770008697902 	-30.5 	0 	
-30.4000015258789 	-1.76569894981731 	-30.4000015258789 	0 	
-30.3000011444092 	-0.945099246982863 	-30.3000011444092 	0 	
-30.2000007629395 	-0.360299232866964 	-30.2000007629395 	0 	
-30.1000003814697 	-0.14739954567267 	-30.1000003814697 	0 	
-30 	-0.0928000690473709 	-30 	0 	
-29.9000015258789 	-0.0363994159743015 	-29.9000015258789 	0 	
-29.8000011444092 	-0.0202997016931477 	-29.8000011444092 	0 	
-29.7000007629395 	-0.00669952545649721 	-29.7000007629395 	0 	
-29.6000003814697 	0.00970020637396374 	-29.6000003814697 	0 	
-29.5 	-0.0239998809847748 	-29.5 	0 	
-29.4000015258789 	-0.0888981803909701 	-29.4000015258789 	0 	
-29.3000011444092 	0.38369130134015 	-29.3000011444092 	0 	
-29.2000007629395 	1.03578798408125 	-29.2000007629395 	0 	
-29.1000003814697 	1.4639922771421 	-29.1000003814697 	0 	
-29 	1.739000020596 	-29 	0 	
-28.9000015258789 	1.91959741420578 	-28.9000015258789 	0 	
-28.8000011444092 	1.9772981851529 	-28.8000011444092 	0 	
-28.7000007629395 	1.39779921378795 	-28.7000007629395 	0 	
-28.6000003814697 	0.814399537084682 	-28.6000003814697 	0 	
-28.5 	0.52329995422042 	-28.5 	0 	
-28.4000015258789 	0.387499427790317 	-28.4000015258789 	0 	
-28.3000011444092 	0.314700002858444 	-28.3000011444092 	0 	
-28.2000007629395 	0.253800255581154 	-28.2000007629395 	0 	
-28.1000003814697 	0.208100074767572 	-28.1000003814697 	0 	
-28 	0.145999986838433 	-28 	0 	
-27.9000015258789 	0.106000250048965 	-27.9000015258789 	0 	
-27.8000011444092 	0.0877003778405196 	-27.8000011444092 	0 	
-27.7000007629395 	0.0813004846568219 	-27.7000007629395 	0 	
-27.6000003814697 	0.085300381466368 	-27.6000003814697 	0 	
-27.5 	0.0890000106774096 	-27.5 	0 	
-27.4000015258789 	0.110900108906208 	-27.4000015258789 	0 	
-27.3000011444092 	0.126000035092147 	-27.3000011444092 	0 	
-27.2000007629395 	0.149500060841092 	-27.2000007629395 	0 	
-27.1000003814697 	0.15780002021711 	-27.1000003814697 	0 	
-27 	0.185000006669725 	-27 	0 	
-26.9000015258789 	0.196499902340292 	-26.9000015258789 	0 	
-26.8000011444092 	0.214599647901196 	-26.8000011444092 	0 	
-26.7000007629395 	0.231999727056973 	-26.7000007629395 	0 	
-26.6000003814697 	0.259599609751604 	-26.6000003814697 	0 	
-26.5 	0.278600008583453 	-26.5 	0 	
-26.4000015258789 	0.286199631878844 	-26.4000015258789 	0 	
