Run 1; Fc 5-1; Cy 3; Sample 1; Conc 3.9 15.6 62.5 250 1000 4000 nM_X 	Run 1; Fc 5-1; Cy 3; Sample 1; Conc 3.9 15.6 62.5 250 1000 4000 nM_Y 	Run 1; Fc 5-1; Cy 3; Sample 1; Conc 3.9 15.6 62.5 250 1000 4000 nM; Fitted_X 	Run 1; Fc 5-1; Cy 3; Sample 1; Conc 3.9 15.6 62.5 250 1000 4000 nM; Fitted_Y 	
-30.7000007629395 	-1.82769177398586 	-30.7000007629395 	0 	
-30.6000003814697 	-2.25349550171086 	-30.6000003814697 	0 	
-30.5 	-2.33659992485264 	-30.5 	0 	
-30.4000015258789 	-2.04199702606275 	-30.4000015258789 	0 	
-30.3000011444092 	-1.43919828605794 	-30.3000011444092 	0 	
-30.2000007629395 	-0.876298892595514 	-30.2000007629395 	0 	
-30.1000003814697 	-0.559099467471242 	-30.1000003814697 	0 	
-30 	-0.333100002670108 	-30 	0 	
-29.9000015258789 	-0.233399106982688 	-29.9000015258789 	0 	
-29.8000011444092 	-0.118599576948327 	-29.8000011444092 	0 	
-29.7000007629395 	-0.0734995758066361 	-29.7000007629395 	0 	
-29.6000003814697 	-0.00529991073562996 	-29.6000003814697 	0 	
-29.5 	-0.0337000946055923 	-29.5 	0 	
-29.4000015258789 	-0.107497986224189 	-29.4000015258789 	0 	
-29.3000011444092 	0.37439119033661 	-29.3000011444092 	0 	
-29.2000007629395 	1.03788778838862 	-29.2000007629395 	0 	
-29.1000003814697 	1.4591923578264 	-29.1000003814697 	0 	
-29 	1.71639997367674 	-29 	0 	
-28.9000015258789 	1.89119757728622 	-28.9000015258789 	0 	
-28.8000011444092 	1.94689809760894 	-28.8000011444092 	0 	
-28.7000007629395 	1.37159910621267 	-28.7000007629395 	0 	
-28.6000003814697 	0.807499234007992 	-28.6000003814697 	0 	
-28.5 	0.544500054740638 	-28.5 	0 	
-28.4000015258789 	0.440399176022765 	-28.4000015258789 	0 	
-28.3000011444092 	0.391699735067959 	-28.3000011444092 	0 	
-28.2000007629395 	0.34419994773998 	-28.2000007629395 	0 	
-28.1000003814697 	0.296099723815132 	-28.1000003814697 	0 	
-28 	0.233399980545073 	-28 	0 	
-27.9000015258789 	0.191699959181278 	-27.9000015258789 	0 	
-27.8000011444092 	0.167400132941111 	-27.8000011444092 	0 	
-27.7000007629395 	0.154700169565331 	-27.7000007629395 	0 	
-27.6000003814697 	0.15300009135899 	-27.6000003814697 	0 	
-27.5 	0.150499987026706 	-27.5 	0 	
