Run 1; Fc 2-1; Cy 3; RPA; Conc 0.04572474 0.1371742 0.4115226 1.234568 3.703704 11.11111 33.33333 100 nM_X 	Run 1; Fc 2-1; Cy 3; RPA; Conc 0.04572474 0.1371742 0.4115226 1.234568 3.703704 11.11111 33.33333 100 nM_Y 	Run 1; Fc 2-1; Cy 3; RPA; Conc 0.04572474 0.1371742 0.4115226 1.234568 3.703704 11.11111 33.33333 100 nM; Fitted_X 	Run 1; Fc 2-1; Cy 3; RPA; Conc 0.04572474 0.1371742 0.4115226 1.234568 3.703704 11.11111 33.33333 100 nM; Fitted_Y 	
-31.7999992370605 	1.18989999999758 	-31.7999992370605 	0 	
-31.6999988555908 	1.09849999999642 	-31.6999988555908 	0 	
-31.5999984741211 	0.734599999999773 	-31.5999984741211 	0 	
-31.5 	0.478699999996024 	-31.5 	0 	
-31.3999996185303 	0.178100000000995 	-31.3999996185303 	0 	
-31.2999992370605 	0.139499999997497 	-31.2999992370605 	0 	
-31.1999988555908 	0.198599999999715 	-31.1999988555908 	0 	
-31.0999984741211 	0.284999999999854 	-31.0999984741211 	0 	
-31 	0.399799999999232 	-31 	0 	
-30.8999996185303 	0.456999999998516 	-30.8999996185303 	0 	
-30.7999992370605 	0.46730000000025 	-30.7999992370605 	0 	
-30.6999988555908 	0.461200000001554 	-30.6999988555908 	0 	
-30.5999984741211 	0.454600000000937 	-30.5999984741211 	0 	
-30.5 	0.459399999999732 	-30.5 	0 	
-30.3999996185303 	0.477100000000064 	-30.3999996185303 	0 	
-30.2999992370605 	0.482700000000477 	-30.2999992370605 	0 	
-30.1999988555908 	0.471199999996315 	-30.1999988555908 	0 	
-30.0999984741211 	0.43829999999798 	-30.0999984741211 	0 	
-30 	0.354199999997945 	-30 	0 	
-29.8999996185303 	0.869699999999284 	-29.8999996185303 	0 	
-29.7999992370605 	1.33499999999913 	-29.7999992370605 	0 	
-29.6999988555908 	1.36179999999877 	-29.6999988555908 	0 	
-29.5999984741211 	1.38859999999841 	-29.5999984741211 	0 	
-29.5 	1.29469999999856 	-29.5 	0 	
-29.3999996185303 	1.17089999999735 	-29.3999996185303 	0 	
-29.2999992370605 	1.03310000000056 	-29.2999992370605 	0 	
-29.1999988555908 	0.938799999999901 	-29.1999988555908 	0 	
-29.0999984741211 	0.861100000001898 	-29.0999984741211 	0 	
-29 	0.783900000002177 	-29 	0 	
-28.8999996185303 	0.714599999999336 	-28.8999996185303 	0 	
-28.7999992370605 	0.633699999998498 	-28.7999992370605 	0 	
-28.6999988555908 	0.544099999999162 	-28.6999988555908 	0 	
-28.5999984741211 	0.479600000002392 	-28.5999984741211 	0 	
-28.5 	0.431000000000495 	-28.5 	0 	
-28.3999996185303 	0.395100000001548 	-28.3999996185303 	0 	
-28.2999992370605 	0.407200000001467 	-28.2999992370605 	0 	
-28.1999988555908 	0.393400000000838 	-28.1999988555908 	0 	
-28.0999984741211 	0.385299999998097 	-28.0999984741211 	0 	
-28 	0.390499999997701 	-28 	0 	
-27.8999996185303 	0.400799999999435 	-27.8999996185303 	0 	
-27.7999992370605 	0.386399999999412 	-27.7999992370605 	0 	
-27.6999988555908 	0.36779999999635 	-27.6999988555908 	0 	
-27.5999984741211 	0.361799999998766 	-27.5999984741211 	0 	
-27.5 	0.363099999998667 	-27.5 	0 	
-27.3999996185303 	0.3679000000011 	-27.3999996185303 	0 	
-27.2999992370605 	0.377100000001519 	-27.2999992370605 	0 	
-27.1999988555908 	0.39089999999851 	-27.1999988555908 	0 	
-27.0999984741211 	0.403299999998126 	-27.0999984741211 	0 	
-27 	0.421099999999569 	-27 	0 	
-26.8999996185303 	0.438799999999901 	-26.8999996185303 	0 	
-26.7999992370605 	0.46060000000216 	-26.7999992370605 	0 	
-26.6999988555908 	0.476999999998952 	-26.6999988555908 	0 	
-26.5999984741211 	0.497800000001007 	-26.5999984741211 	0 	
-26.5 	0.513300000002346 	-26.5 	0 	
-26.3999996185303 	0.52219999999943 	-26.3999996185303 	0 	
-26.2999992370605 	0.510200000000623 	-26.2999992370605 	0 	
-26.1999988555908 	0.471199999999953 	-26.1999988555908 	0 	
-26.0999984741211 	0.451700000001438 	-26.0999984741211 	0 	
-26 	0.453999999997905 	-26 	0 	
-25.8999996185303 	0.449000000000524 	-25.8999996185303 	0 	
-25.7999992370605 	0.45049999999901 	-25.7999992370605 	0 	
-25.6999988555908 	0.456199999996898 	-25.6999988555908 	0 	
-25.5999984741211 	0.454599999997299 	-25.5999984741211 	0 	
-25.5 	0.4516999999978 	-25.5 	0 	
-25.3999996185303 	0.456200000000536 	-25.3999996185303 	0 	
-25.2999992370605 	0.455200000000332 	-25.2999992370605 	0 	
-25.1999988555908 	0.450100000001839 	-25.1999988555908 	0 	
-25.0999984741211 	0.455500000000029 	-25.0999984741211 	0 	
-25 	0.457999999998719 	-25 	0 	
-24.8999996185303 	0.45929999999862 	-24.8999996185303 	0 	
-24.7999992370605 	0.458600000001752 	-24.7999992370605 	0 	
-24.6999988555908 	0.457099999999627 	-24.6999988555908 	0 	
-24.5999984741211 	0.458099999999831 	-24.5999984741211 	0 	
-24.5 	0.459800000000541 	-24.5 	0 	
-24.3999996185303 	0.459000000002561 	-24.3999996185303 	0 	
-24.2999992370605 	0.459999999999127 	-24.2999992370605 	0 	
-24.1999988555908 	0.458999999998923 	-24.1999988555908 	0 	
-24.0999984741211 	0.460899999998219 	-24.0999984741211 	0 	
-24 	0.460100000000239 	-24 	0 	
-23.8999996185303 	0.461200000001554 	-23.8999996185303 	0 	
-23.7999992370605 	0.461299999999028 	-23.7999992370605 	0 	
-23.6999988555908 	0.460199999997712 	-23.6999988555908 	0 	
-23.5999984741211 	0.457299999998213 	-23.5999984741211 	0 	
-23.5 	0.457600000001548 	-23.5 	0 	
-23.3999996185303 	0.453600000000733 	-23.3999996185303 	0 	
-23.2999992370605 	0.44999999999709 	-23.2999992370605 	0 	
-23.1999988555908 	0.4487999999983 	-23.1999988555908 	0 	
-23.0999984741211 	0.446599999999307 	-23.0999984741211 	0 	
-23 	0.444899999998597 	-23 	0 	
-22.8999996185303 	0.442399999999907 	-22.8999996185303 	0 	
-22.7999992370605 	0.441300000002229 	-22.7999992370605 	0 	
-22.6999988555908 	0.439600000001519 	-22.6999988555908 	0 	
-22.5999984741211 	0.439800000000105 	-22.5999984741211 	0 	
-22.5 	0.438599999997678 	-22.5 	0 	
-22.3999996185303 	0.437099999999191 	-22.3999996185303 	0 	
-22.2999992370605 	0.433999999997468 	-22.2999992370605 	0 	
-22.1999988555908 	0.431399999997666 	-22.1999988555908 	0 	
-22.0999984741211 	0.429199999998673 	-22.0999984741211 	0 	
-22 	0.426800000001094 	-22 	0 	
-21.8999996185303 	0.424899999998161 	-21.8999996185303 	0 	
-21.7999992370605 	0.424399999999878 	-21.7999992370605 	0 	
-21.6999988555908 	0.422999999998865 	-21.6999988555908 	0 	
-21.5999984741211 	0.421800000000076 	-21.5999984741211 	0 	
-21.5 	0.420399999999063 	-21.5 	0 	
-21.3999996185303 	0.418600000000879 	-21.3999996185303 	0 	
-21.2999992370605 	0.416900000000169 	-21.2999992370605 	0 	
-21.1999988555908 	0.414899999999761 	-21.1999988555908 	0 	
-21.0999984741211 	0.413400000001275 	-21.0999984741211 	0 	
-21 	0.410799999997835 	-21 	0 	
-20.8999996185303 	0.408999999999651 	-20.8999996185303 	0 	
-20.7999992370605 	0.407800000000861 	-20.7999992370605 	0 	
-20.6999988555908 	0.40650000000096 	-20.6999988555908 	0 	
-20.5999984741211 	0.404999999998836 	-20.5999984741211 	0 	
-20.5 	0.402500000000146 	-20.5 	0 	
-20.3999996185303 	0.400699999998324 	-20.3999996185303 	0 	
-20.2999992370605 	0.399300000000949 	-20.2999992370605 	0 	
-20.1999988555908 	0.397000000000844 	-20.1999988555908 	0 	
-20.0999984741211 	0.394599999999627 	-20.0999984741211 	0 	
-20 	0.393100000001141 	-20 	0 	
-19.8999996185303 	0.391600000002654 	-19.8999996185303 	0 	
-19.7999992370605 	0.389800000000832 	-19.7999992370605 	0 	
-19.6999988555908 	0.387699999999313 	-19.6999988555908 	0 	
-19.5999984741211 	0.385999999998603 	-19.5999984741211 	0 	
-19.5 	0.38379999999961 	-19.5 	0 	
-19.3999996185303 	0.381799999999203 	-19.3999996185303 	0 	
-19.2999992370605 	0.380600000000413 	-19.2999992370605 	0 	
-19.1999988555908 	0.378399999997782 	-19.1999988555908 	0 	
-19.0999984741211 	0.376699999997072 	-19.0999984741211 	0 	
-19 	0.374899999998888 	-19 	0 	
-18.8999996185303 	0.373300000002928 	-18.8999996185303 	0 	
-18.7999992370605 	0.372099999996863 	-18.7999992370605 	0 	
-18.6999988555908 	0.369999999998981 	-18.6999988555908 	0 	
-18.5999984741211 	0.368399999999383 	-18.5999984741211 	0 	
-18.5 	0.365000000001601 	-18.5 	0 	
-18.3999996185303 	0.362300000000687 	-18.3999996185303 	0 	
-18.2999992370605 	0.360199999999168 	-18.2999992370605 	0 	
-18.1999988555908 	0.35819999999876 	-18.1999988555908 	0 	
-18.0999984741211 	0.35740000000078 	-18.0999984741211 	0 	
-18 	0.355999999999767 	-18 	0 	
-17.8999996185303 	0.354500000001281 	-17.8999996185303 	0 	
-17.7999992370605 	0.35280000000057 	-17.7999992370605 	0 	
-17.6999988555908 	0.35109999999986 	-17.6999988555908 	0 	
-17.5999984741211 	0.348900000000867 	-17.5999984741211 	0 	
-17.5 	0.346399999998539 	-17.5 	0 	
-17.3999996185303 	0.34400000000096 	-17.3999996185303 	0 	
-17.2999992370605 	0.341300000000047 	-17.2999992370605 	0 	
-17.1999988555908 	0.33889999999883 	-17.1999988555908 	0 	
-17.0999984741211 	0.335900000001857 	-17.0999984741211 	0 	
-17 	0.333599999998114 	-17 	0 	
-16.8999996185303 	0.329900000000634 	-16.8999996185303 	0 	
-16.7999992370605 	0.326800000002549 	-16.7999992370605 	0 	
-16.6999988555908 	0.324399999997695 	-16.6999988555908 	0 	
-16.5999984741211 	0.32300000000032 	-16.5999984741211 	0 	
-16.5 	0.32129999999961 	-16.5 	0 	
