Run 1; Fc 3-1; Cy 3; Sample 1; Conc 3.9 15.6 62.5 250 1000 4000 nM_X 	Run 1; Fc 3-1; Cy 3; Sample 1; Conc 3.9 15.6 62.5 250 1000 4000 nM_Y 	Run 1; Fc 3-1; Cy 3; Sample 1; Conc 3.9 15.6 62.5 250 1000 4000 nM; Fitted_X 	Run 1; Fc 3-1; Cy 3; Sample 1; Conc 3.9 15.6 62.5 250 1000 4000 nM; Fitted_Y 	
-30.7000007629395 	-1.09089610509909 	-30.7000007629395 	0 	
-30.6000003814697 	-1.27179994383187 	-30.6000003814697 	0 	
-30.5 	-1.25580000238551 	-30.5 	0 	
-30.4000015258789 	-0.917299426841055 	-30.4000015258789 	0 	
-30.3000011444092 	-0.43469998665023 	-30.3000011444092 	0 	
-30.2000007629395 	-0.0802000903131557 	-30.2000007629395 	0 	
-30.1000003814697 	-0.309494547556824 	-30.1000003814697 	0 	
-30 	-0.886100055311545 	-30 	0 	
-29.9000015258789 	-1.38108995590301 	-29.9000015258789 	0 	
-29.8000011444092 	-1.63289445686314 	-29.8000011444092 	0 	
-29.7000007629395 	-1.80099662437351 	-29.7000007629395 	0 	
-29.6000003814697 	-1.86709768104629 	-29.6000003814697 	0 	
-29.5 	-1.52689988517886 	-29.5 	0 	
-29.4000015258789 	-1.02319798469762 	-29.4000015258789 	0 	
-29.3000011444092 	-0.155108420945908 	-29.3000011444092 	0 	
-29.2000007629395 	0.707488345909951 	-29.2000007629395 	0 	
-29.1000003814697 	1.23249247951753 	-29.1000003814697 	0 	
-29 	1.55280003528605 	-29 	0 	
-28.9000015258789 	1.79799714059845 	-28.9000015258789 	0 	
-28.8000011444092 	1.89269771432737 	-28.8000011444092 	0 	
-28.7000007629395 	1.34739876146341 	-28.7000007629395 	0 	
-28.6000003814697 	0.800698979950539 	-28.6000003814697 	0 	
-28.5 	0.554999999047141 	-28.5 	0 	
-28.4000015258789 	0.446998907562374 	-28.4000015258789 	0 	
-28.3000011444092 	0.375799695208116 	-28.3000011444092 	0 	
-28.2000007629395 	0.288500194455992 	-28.2000007629395 	0 	
-28.1000003814697 	0.216099972629308 	-28.1000003814697 	0 	
-28 	0.131900004864292 	-28 	0 	
-27.9000015258789 	0.0703000502580835 	-27.9000015258789 	0 	
-27.8000011444092 	0.0373002250635182 	-27.8000011444092 	0 	
-27.7000007629395 	0.0265002112391812 	-27.7000007629395 	0 	
-27.6000003814697 	0.0381001005152939 	-27.6000003814697 	0 	
-27.5 	0.0496999839779164 	-27.5 	0 	
-27.4000015258789 	0.0787997017832822 	-27.4000015258789 	0 	
-27.3000011444092 	0.101299694917543 	-27.3000011444092 	0 	
-27.2000007629395 	0.12749973955215 	-27.2000007629395 	0 	
-27.1000003814697 	0.134199783515214 	-27.1000003814697 	0 	
-27 	0.154899999855843 	-27 	0 	
-26.9000015258789 	0.147799824713729 	-26.9000015258789 	0 	
-26.8000011444092 	0.135399863622297 	-26.8000011444092 	0 	
-26.7000007629395 	0.127899827337387 	-26.7000007629395 	0 	
-26.6000003814697 	0.118399928236613 	-26.6000003814697 	0 	
-26.5 	0.111199986458814 	-26.5 	0 	
-26.4000015258789 	0.106799908877292 	-26.4000015258789 	0 	
-26.3000011444092 	0.10319990716016 	-26.3000011444092 	0 	
-26.2000007629395 	0.0958999413487618 	-26.2000007629395 	0 	
-26.1000003814697 	0.0898999914643355 	-26.1000003814697 	0 	
-26 	0.0827000083918392 	-26 	0 	
-25.9000015258789 	0.0785999690997414 	-25.9000015258789 	0 	
-25.8000011444092 	0.0764999209859525 	-25.8000011444092 	0 	
-25.7000007629395 	0.0699000070089824 	-25.7000007629395 	0 	
-25.6000003814697 	0.0645000002405141 	-25.6000003814697 	0 	
-25.5 	0.0574999870295869 	-25.5 	0 	
-25.4000015258789 	0.0546999711004901 	-25.4000015258789 	0 	
-25.3000011444092 	0.0523999812612601 	-25.3000011444092 	0 	
-25.2000007629395 	0.0522998806445685 	-25.2000007629395 	0 	
-25.1000003814697 	0.0626997627259698 	-25.1000003814697 	0 	
-25 	0.0736000125871215 	-25 	0 	
-24.9000015258789 	0.0791998042586783 	-24.9000015258789 	0 	
-24.8000011444092 	0.0866997496596014 	-24.8000011444092 	0 	
-24.7000007629395 	0.0977997282498109 	-24.7000007629395 	0 	
-24.6000003814697 	0.108499775600649 	-24.6000003814697 	0 	
-24.5 	0.111199994327762 	-24.5 	0 	
-24.4000015258789 	0.0972000271794968 	-24.4000015258789 	0 	
-24.3000011444092 	0.0883000041503692 	-24.3000011444092 	0 	
-24.2000007629395 	0.0823999228450703 	-24.2000007629395 	0 	
-24.1000003814697 	0.0747999536506541 	-24.1000003814697 	0 	
-24 	0.073199994280003 	-24 	0 	
-23.9000015258789 	0.0787999163621862 	-23.9000015258789 	0 	
-23.8000011444092 	0.0778999664798903 	-23.8000011444092 	0 	
-23.7000007629395 	0.0822999183656066 	-23.7000007629395 	0 	
-23.6000003814697 	0.0851999457809143 	-23.6000003814697 	0 	
-23.5 	0.0832999891281361 	-23.5 	0 	
-23.4000015258789 	0.0816999599956034 	-23.4000015258789 	0 	
-23.3000011444092 	0.0794999704849033 	-23.3000011444092 	0 	
-23.2000007629395 	0.0780999708185846 	-23.2000007629395 	0 	
-23.1000003814697 	0.076499968097778 	-23.1000003814697 	0 	
-23 	0.0720000134970178 	-23 	0 	
-22.9000015258789 	0.0731000297564606 	-22.9000015258789 	0 	
-22.8000011444092 	0.074400009776582 	-22.8000011444092 	0 	
-22.7000007629395 	0.0753999867447419 	-22.7000007629395 	0 	
-22.6000003814697 	0.0748999999523221 	-22.6000003814697 	0 	
-22.5 	0.076699986744643 	-22.5 	0 	
-22.4000015258789 	0.0771999935132044 	-22.4000015258789 	0 	
-22.3000011444092 	0.0796999613303342 	-22.3000011444092 	0 	
-22.2000007629395 	0.0798000077229517 	-22.2000007629395 	0 	
-22.1000003814697 	0.0786999586089223 	-22.1000003814697 	0 	
-22 	0.0769999917974928 	-22 	0 	
-21.9000015258789 	0.0767999985655479 	-21.9000015258789 	0 	
-21.8000011444092 	0.0754999724849768 	-21.8000011444092 	0 	
-21.7000007629395 	0.0743999958503991 	-21.7000007629395 	0 	
-21.6000003814697 	0.0741999863639649 	-21.6000003814697 	0 	
-21.5 	0.0733999931362632 	-21.5 	0 	
-21.4000015258789 	0.0723999833098787 	-21.4000015258789 	0 	
-21.3000011444092 	0.0697000161635515 	-21.3000011444092 	0 	
-21.2000007629395 	0.0694000063413114 	-21.2000007629395 	0 	
-21.1000003814697 	0.0715999965177616 	-21.1000003814697 	0 	
-21 	0.0718999866949162 	-21 	0 	
-20.9000015258789 	0.071099973822129 	-20.9000015258789 	0 	
-20.8000011444092 	0.0705000036214187 	-20.8000011444092 	0 	
-20.7000007629395 	0.0694999839797674 	-20.7000007629395 	0 	
-20.6000003814697 	0.0694000039584353 	-20.6000003814697 	0 	
-20.5 	0.0685999978559266 	-20.5 	0 	
-20.4000015258789 	0.0670999683861737 	-20.4000015258789 	0 	
-20.3000011444092 	0.0664000080105325 	-20.3000011444092 	0 	
-20.2000007629395 	0.065499988366355 	-20.2000007629395 	0 	
-20.1000003814697 	0.0652999721060041 	-20.1000003814697 	0 	
-20 	0.0641999988547468 	-20 	0 	
-19.9000015258789 	0.0634000056270452 	-19.9000015258789 	0 	
-19.8000011444092 	0.0636999893686152 	-19.8000011444092 	0 	
-19.7000007629395 	0.0633000059606275 	-19.7000007629395 	0 	
-19.6000003814697 	0.063600009347283 	-19.6000003814697 	0 	
-19.5 	0.0633000062953215 	-19.5 	0 	
-19.4000015258789 	0.0638999866459926 	-19.4000015258789 	0 	
-19.3000011444092 	0.0645000066288048 	-19.3000011444092 	0 	
-19.2000007629395 	0.0641999968065647 	-19.2000007629395 	0 	
-19.1000003814697 	0.0631000198372931 	-19.1000003814697 	0 	
-19 	0.0621999866489205 	-19 	0 	
-18.9000015258789 	0.0621999968025193 	-18.9000015258789 	0 	
-18.8000011444092 	0.0614999869831081 	-18.8000011444092 	0 	
-18.7000007629395 	0.0626999808773689 	-18.7000007629395 	0 	
-18.6000003814697 	0.0622999842635181 	-18.6000003814697 	0 	
-18.5 	0.0631000143985148 	-18.5 	0 	
-18.4000015258789 	0.0645000045769848 	-18.4000015258789 	0 	
-18.3000011444092 	0.0642000076295517 	-18.3000011444092 	0 	
