Run 1; Fc 4-1; Cy 3; Sample 1; Conc 3.9 15.6 62.5 250 1000 4000 nM_X 	Run 1; Fc 4-1; Cy 3; Sample 1; Conc 3.9 15.6 62.5 250 1000 4000 nM_Y 	Run 1; Fc 4-1; Cy 3; Sample 1; Conc 3.9 15.6 62.5 250 1000 4000 nM; Fitted_X 	Run 1; Fc 4-1; Cy 3; Sample 1; Conc 3.9 15.6 62.5 250 1000 4000 nM; Fitted_Y 	
-30.7000007629395 	-1.08989607724652 	-30.7000007629395 	0 	
-30.6000003814697 	-1.2884996829016 	-30.6000003814697 	0 	
-30.5 	-1.29450002584053 	-30.5 	0 	
-30.4000015258789 	-0.943399258230784 	-30.4000015258789 	0 	
-30.3000011444092 	-0.489899375912501 	-30.3000011444092 	0 	
-30.2000007629395 	-0.535892534826417 	-30.2000007629395 	0 	
-30.1000003814697 	-1.16758676871905 	-30.1000003814697 	0 	
-30 	-1.5727999198898 	-30 	0 	
-29.9000015258789 	-1.75399608955195 	-29.9000015258789 	0 	
-29.8000011444092 	-1.78679889335399 	-29.8000011444092 	0 	
-29.7000007629395 	-1.61379903907437 	-29.7000007629395 	0 	
-29.6000003814697 	-0.978999571987515 	-29.6000003814697 	0 	
-29.5 	-0.456599972912954 	-29.5 	0 	
-29.4000015258789 	-0.29349783973521 	-29.4000015258789 	0 	
-29.3000011444092 	0.237091609575145 	-29.3000011444092 	0 	
-29.2000007629395 	0.936888043786894 	-29.2000007629395 	0 	
-29.1000003814697 	1.36869258652223 	-29.1000003814697 	0 	
-29 	1.65730001735938 	-29 	0 	
-28.9000015258789 	1.86129709320448 	-28.9000015258789 	0 	
-28.8000011444092 	1.94469779529754 	-28.8000011444092 	0 	
-28.7000007629395 	1.39949872083889 	-28.7000007629395 	0 	
-28.6000003814697 	0.853699018578482 	-28.6000003814697 	0 	
-28.5 	0.591499977781496 	-28.5 	0 	
-28.4000015258789 	0.454199452018656 	-28.4000015258789 	0 	
-28.3000011444092 	0.363399991514598 	-28.3000011444092 	0 	
-28.2000007629395 	0.284600176815729 	-28.2000007629395 	0 	
-28.1000003814697 	0.212699968531524 	-28.1000003814697 	0 	
-28 	0.136399987892219 	-28 	0 	
-27.9000015258789 	0.0836000793460698 	-27.9000015258789 	0 	
-27.8000011444092 	0.0717001853954571 	-27.8000011444092 	0 	
-27.7000007629395 	0.0725002040890104 	-27.7000007629395 	0 	
-27.6000003814697 	0.0786001773849421 	-27.6000003814697 	0 	
-27.5 	0.0785000066789507 	-27.5 	0 	
-27.4000015258789 	0.0998997729329858 	-27.4000015258789 	0 	
-27.3000011444092 	0.118699689199275 	-27.3000011444092 	0 	
-27.2000007629395 	0.144899750426703 	-27.2000007629395 	0 	
