Run 1; Fc 2-1; Cy 7; DT; Conc 8 40 200 1000 5000 nM_X 	Run 1; Fc 2-1; Cy 7; DT; Conc 8 40 200 1000 5000 nM_Y 	Run 1; Fc 2-1; Cy 7; DT; Conc 8 40 200 1000 5000 nM; Fitted_X 	Run 1; Fc 2-1; Cy 7; DT; Conc 8 40 200 1000 5000 nM; Fitted_Y 	
-49.5 	0.953125 	-49.5 	0 	
-49.4000015258789 	0.953125 	-49.4000015258789 	0 	
-49.3000030517578 	0.94140625 	-49.3000030517578 	0 	
-49.2000007629395 	0.94140625 	-49.2000007629395 	0 	
-49.1000022888184 	0.93359375 	-49.1000022888184 	0 	
-49 	0.921875 	-49 	0 	
-48.9000015258789 	0.921875 	-48.9000015258789 	0 	
-48.8000030517578 	0.921875 	-48.8000030517578 	0 	
-48.7000007629395 	0.921875 	-48.7000007629395 	0 	
-48.6000022888184 	0.9296875 	-48.6000022888184 	0 	
-48.5 	0.9140625 	-48.5 	0 	
-48.4000015258789 	0.9140625 	-48.4000015258789 	0 	
-48.3000030517578 	0.91796875 	-48.3000030517578 	0 	
-48.2000007629395 	0.91796875 	-48.2000007629395 	0 	
-48.1000022888184 	0.90625 	-48.1000022888184 	0 	
-48 	0.90234375 	-48 	0 	
-47.9000015258789 	0.90234375 	-47.9000015258789 	0 	
-47.8000030517578 	0.8984375 	-47.8000030517578 	0 	
-47.7000007629395 	0.90234375 	-47.7000007629395 	0 	
-47.6000022888184 	0.89453125 	-47.6000022888184 	0 	
-47.5 	0.89453125 	-47.5 	0 	
-47.4000015258789 	0.89453125 	-47.4000015258789 	0 	
-47.3000030517578 	0.89453125 	-47.3000030517578 	0 	
-47.2000007629395 	0.88671875 	-47.2000007629395 	0 	
-47.1000022888184 	0.890625 	-47.1000022888184 	0 	
-47 	0.8828125 	-47 	0 	
-46.9000015258789 	0.8828125 	-46.9000015258789 	0 	
-46.8000030517578 	0.8828125 	-46.8000030517578 	0 	
-46.7000007629395 	0.88671875 	-46.7000007629395 	0 	
-46.6000022888184 	0.87890625 	-46.6000022888184 	0 	
-46.5 	0.875 	-46.5 	0 	
-46.4000015258789 	0.8671875 	-46.4000015258789 	0 	
-46.3000030517578 	0.8359375 	-46.3000030517578 	0 	
-46.2000007629395 	0.80078125 	-46.2000007629395 	0 	
-46.1000022888184 	0.81640625 	-46.1000022888184 	0 	
-46 	0.84765625 	-46 	0 	
-45.9000015258789 	0.8671875 	-45.9000015258789 	0 	
-45.8000030517578 	0.87109375 	-45.8000030517578 	0 	
-45.7000007629395 	0.8984375 	-45.7000007629395 	0 	
-45.6000022888184 	0.91796875 	-45.6000022888184 	0 	
-45.5 	0.91796875 	-45.5 	0 	
-45.4000015258789 	0.9375 	-45.4000015258789 	0 	
-45.3000030517578 	0.94140625 	-45.3000030517578 	0 	
-45.2000007629395 	0.94921875 	-45.2000007629395 	0 	
-45.1000022888184 	0.94921875 	-45.1000022888184 	0 	
-45 	0.96875 	-45 	0 	
-44.9000015258789 	0.98046875 	-44.9000015258789 	0 	
-44.8000030517578 	0.99609375 	-44.8000030517578 	0 	
-44.7000007629395 	1.01953125 	-44.7000007629395 	0 	
-44.6000022888184 	1.04296875 	-44.6000022888184 	0 	
-44.5 	1.0703125 	-44.5 	0 	
-44.4000015258789 	1.078125 	-44.4000015258789 	0 	
-44.3000030517578 	1.09375 	-44.3000030517578 	0 	
-44.2000007629395 	1.08984375 	-44.2000007629395 	0 	
-44.1000022888184 	1.08203125 	-44.1000022888184 	0 	
-44 	1.07421875 	-44 	0 	
-43.9000015258789 	1.0859375 	-43.9000015258789 	0 	
-43.8000030517578 	1.06640625 	-43.8000030517578 	0 	
-43.7000007629395 	1.046875 	-43.7000007629395 	0 	
-43.6000022888184 	1.03515625 	-43.6000022888184 	0 	
-43.5 	1.0234375 	-43.5 	0 	
-43.4000015258789 	1.01171875 	-43.4000015258789 	0 	
-43.3000030517578 	1 	-43.3000030517578 	0 	
-43.2000007629395 	0.9921875 	-43.2000007629395 	0 	
-43.1000022888184 	1 	-43.1000022888184 	0 	
-43 	1 	-43 	0 	
-42.9000015258789 	1.01171875 	-42.9000015258789 	0 	
-42.8000030517578 	1 	-42.8000030517578 	0 	
-42.7000007629395 	1.01171875 	-42.7000007629395 	0 	
-42.6000022888184 	1.0078125 	-42.6000022888184 	0 	
-42.5 	1.00390625 	-42.5 	0 	
-42.4000015258789 	1.00390625 	-42.4000015258789 	0 	
-42.3000030517578 	0.9921875 	-42.3000030517578 	0 	
-42.2000007629395 	1.00390625 	-42.2000007629395 	0 	
-42.1000022888184 	1.00390625 	-42.1000022888184 	0 	
-42 	1.00390625 	-42 	0 	
-41.9000015258789 	1.00390625 	-41.9000015258789 	0 	
-41.8000030517578 	1.00390625 	-41.8000030517578 	0 	
-41.7000007629395 	1.00390625 	-41.7000007629395 	0 	
-41.6000022888184 	1.00390625 	-41.6000022888184 	0 	
-41.5 	1.0078125 	-41.5 	0 	
-41.4000015258789 	1.01953125 	-41.4000015258789 	0 	
-41.3000030517578 	1.01953125 	-41.3000030517578 	0 	
-41.2000007629395 	1.01953125 	-41.2000007629395 	0 	
-41.1000022888184 	1.01953125 	-41.1000022888184 	0 	
-41 	1.01953125 	-41 	0 	
-40.9000015258789 	1.01953125 	-40.9000015258789 	0 	
-40.8000030517578 	1.01953125 	-40.8000030517578 	0 	
-40.7000007629395 	1.01171875 	-40.7000007629395 	0 	
-40.6000022888184 	1.01953125 	-40.6000022888184 	0 	
-40.5 	1.01171875 	-40.5 	0 	
-40.4000015258789 	1.015625 	-40.4000015258789 	0 	
-40.3000030517578 	1.01171875 	-40.3000030517578 	0 	
-40.2000007629395 	1.01171875 	-40.2000007629395 	0 	
-40.1000022888184 	1.01171875 	-40.1000022888184 	0 	
-40 	1.01171875 	-40 	0 	
-39.9000015258789 	1.01953125 	-39.9000015258789 	0 	
-39.8000030517578 	1.0234375 	-39.8000030517578 	0 	
-39.7000007629395 	1.0234375 	-39.7000007629395 	0 	
-39.6000022888184 	1.0234375 	-39.6000022888184 	0 	
-39.5 	1.0234375 	-39.5 	0 	
-39.4000015258789 	1.0234375 	-39.4000015258789 	0 	
-39.3000030517578 	1.0234375 	-39.3000030517578 	0 	
-39.2000007629395 	1.03125 	-39.2000007629395 	0 	
-39.1000022888184 	1.03515625 	-39.1000022888184 	0 	
-39 	1.04296875 	-39 	0 	
-38.9000015258789 	1.0390625 	-38.9000015258789 	0 	
-38.8000030517578 	1.04296875 	-38.8000030517578 	0 	
-38.7000007629395 	1.04296875 	-38.7000007629395 	0 	
-38.6000022888184 	1.05078125 	-38.6000022888184 	0 	
-38.5 	1.046875 	-38.5 	0 	
-38.4000015258789 	1.05078125 	-38.4000015258789 	0 	
-38.3000030517578 	1.05078125 	-38.3000030517578 	0 	
-38.2000007629395 	1.05859375 	-38.2000007629395 	0 	
-38.1000022888184 	1.0625 	-38.1000022888184 	0 	
-38 	1.0625 	-38 	0 	
-37.9000015258789 	1.0625 	-37.9000015258789 	0 	
-37.8000030517578 	1.06640625 	-37.8000030517578 	0 	
-37.7000007629395 	1.06640625 	-37.7000007629395 	0 	
-37.6000022888184 	1.06640625 	-37.6000022888184 	0 	
-37.5 	1.0703125 	-37.5 	0 	
-37.4000015258789 	1.078125 	-37.4000015258789 	0 	
-37.3000030517578 	1.07421875 	-37.3000030517578 	0 	
-37.2000007629395 	1.07421875 	-37.2000007629395 	0 	
-37.1000022888184 	1.07421875 	-37.1000022888184 	0 	
-37 	1.078125 	-37 	0 	
-36.9000015258789 	1.08203125 	-36.9000015258789 	0 	
-36.8000030517578 	1.0703125 	-36.8000030517578 	0 	
-36.7000007629395 	1.078125 	-36.7000007629395 	0 	
-36.6000022888184 	1.08203125 	-36.6000022888184 	0 	
-36.5 	1.08203125 	-36.5 	0 	
-36.4000015258789 	1.08984375 	-36.4000015258789 	0 	
-36.3000030517578 	1.09375 	-36.3000030517578 	0 	
-36.2000007629395 	1.08203125 	-36.2000007629395 	0 	
-36.1000022888184 	1.08203125 	-36.1000022888184 	0 	
-36 	1.08984375 	-36 	0 	
-35.9000015258789 	1.09765625 	-35.9000015258789 	0 	
-35.8000030517578 	1.1015625 	-35.8000030517578 	0 	
-35.7000007629395 	1.08984375 	-35.7000007629395 	0 	
-35.6000022888184 	1.08984375 	-35.6000022888184 	0 	
-35.5 	1.09375 	-35.5 	0 	
-35.4000015258789 	1.09375 	-35.4000015258789 	0 	
-35.3000030517578 	1.08203125 	-35.3000030517578 	0 	
-35.2000007629395 	1.078125 	-35.2000007629395 	0 	
-35.1000022888184 	1.08203125 	-35.1000022888184 	0 	
-35 	1.08984375 	-35 	0 	
-34.9000015258789 	1.08203125 	-34.9000015258789 	0 	
-34.8000030517578 	1.08203125 	-34.8000030517578 	0 	
-34.7000007629395 	1.0859375 	-34.7000007629395 	0 	
-34.6000022888184 	1.08984375 	-34.6000022888184 	0 	
-34.5 	1.08984375 	-34.5 	0 	
-34.4000015258789 	1.08203125 	-34.4000015258789 	0 	
-34.3000030517578 	1.08203125 	-34.3000030517578 	0 	
-34.2000007629395 	1.08203125 	-34.2000007629395 	0 	
-34.1000022888184 	1.08984375 	-34.1000022888184 	0 	
-34 	1.09375 	-34 	0 	
-33.9000015258789 	1.08203125 	-33.9000015258789 	0 	
-33.8000030517578 	1.08203125 	-33.8000030517578 	0 	
-33.7000007629395 	1.08984375 	-33.7000007629395 	0 	
-33.6000022888184 	1.09375 	-33.6000022888184 	0 	
-33.5 	1.0859375 	-33.5 	0 	
-33.4000015258789 	1.0859375 	-33.4000015258789 	0 	
-33.3000030517578 	1.08984375 	-33.3000030517578 	0 	
-33.2000007629395 	1.08203125 	-33.2000007629395 	0 	
-33.1000022888184 	1.08203125 	-33.1000022888184 	0 	
-33 	1.08203125 	-33 	0 	
-32.9000015258789 	1.08984375 	-32.9000015258789 	0 	
-32.8000030517578 	1.08203125 	-32.8000030517578 	0 	
-32.7000007629395 	1.08203125 	-32.7000007629395 	0 	
-32.6000022888184 	1.07421875 	-32.6000022888184 	0 	
-32.5 	1.07421875 	-32.5 	0 	
-32.4000015258789 	1.078125 	-32.4000015258789 	0 	
-32.3000030517578 	1.08203125 	-32.3000030517578 	0 	
-32.2000007629395 	1.0703125 	-32.2000007629395 	0 	
-32.1000022888184 	1.0703125 	-32.1000022888184 	0 	
-32 	1.0703125 	-32 	0 	
-31.9000015258789 	1.0625 	-31.9000015258789 	0 	
-31.8000011444092 	1.0703125 	-31.8000011444092 	0 	
-31.7000007629395 	1.07421875 	-31.7000007629395 	0 	
-31.6000022888184 	1.0625 	-31.6000022888184 	0 	
-31.5000019073486 	1.0625 	-31.5000019073486 	0 	
-31.4000015258789 	1.0625 	-31.4000015258789 	0 	
-31.3000011444092 	1.0546875 	-31.3000011444092 	0 	
-31.2000007629395 	1.0546875 	-31.2000007629395 	0 	
-31.1000022888184 	1.046875 	-31.1000022888184 	0 	
-31.0000019073486 	1.05078125 	-31.0000019073486 	0 	
-30.9000015258789 	1.0390625 	-30.9000015258789 	0 	
-30.8000030517578 	1.046875 	-30.8000030517578 	0 	
-30.7000007629395 	1.05078125 	-30.7000007629395 	0 	
-30.6000022888184 	1.04296875 	-30.6000022888184 	0 	
-30.5 	1.04296875 	-30.5 	0 	
-30.4000015258789 	1.04296875 	-30.4000015258789 	0 	
-30.3000030517578 	1.04296875 	-30.3000030517578 	0 	
-30.2000007629395 	1.03125 	-30.2000007629395 	0 	
-30.1000022888184 	1.03125 	-30.1000022888184 	0 	
-30 	1.03125 	-30 	0 	
-29.9000015258789 	1.03515625 	-29.9000015258789 	0 	
-29.8000030517578 	1.0234375 	-29.8000030517578 	0 	
-29.7000007629395 	1.0234375 	-29.7000007629395 	0 	
-29.6000022888184 	1.0234375 	-29.6000022888184 	0 	
-29.5 	1.02734375 	-29.5 	0 	
-29.4000015258789 	1.03125 	-29.4000015258789 	0 	
-29.3000030517578 	1.0234375 	-29.3000030517578 	0 	
-29.2000007629395 	1.0234375 	-29.2000007629395 	0 	
-29.1000022888184 	1.0234375 	-29.1000022888184 	0 	
-29 	1.01171875 	-29 	0 	
-28.9000015258789 	1.01171875 	-28.9000015258789 	0 	
-28.8000030517578 	1.01171875 	-28.8000030517578 	0 	
-28.7000007629395 	1.00390625 	-28.7000007629395 	0 	
-28.6000022888184 	1.00390625 	-28.6000022888184 	0 	
-28.5 	1.00390625 	-28.5 	0 	
-28.4000015258789 	0.9921875 	-28.4000015258789 	0 	
-28.3000030517578 	1 	-28.3000030517578 	0 	
-28.2000007629395 	1.00390625 	-28.2000007629395 	0 	
-28.1000022888184 	0.984375 	-28.1000022888184 	0 	
-28 	0.98828125 	-28 	0 	
-27.9000015258789 	0.9921875 	-27.9000015258789 	0 	
-27.8000030517578 	0.9921875 	-27.8000030517578 	0 	
-27.7000007629395 	0.984375 	-27.7000007629395 	0 	
-27.6000022888184 	0.98828125 	-27.6000022888184 	0 	
-27.5 	0.984375 	-27.5 	0 	
-27.4000015258789 	0.984375 	-27.4000015258789 	0 	
-27.3000030517578 	0.98828125 	-27.3000030517578 	0 	
-27.2000007629395 	0.9921875 	-27.2000007629395 	0 	
-27.1000022888184 	0.98046875 	-27.1000022888184 	0 	
-27 	0.98046875 	-27 	0 	
-26.9000015258789 	0.98046875 	-26.9000015258789 	0 	
-26.8000030517578 	0.98046875 	-26.8000030517578 	0 	
-26.7000007629395 	0.98046875 	-26.7000007629395 	0 	
-26.6000022888184 	0.96875 	-26.6000022888184 	0 	
-26.5 	0.96875 	-26.5 	0 	
-26.4000015258789 	0.97265625 	-26.4000015258789 	0 	
-26.3000030517578 	0.97265625 	-26.3000030517578 	0 	
-26.2000007629395 	0.97265625 	-26.2000007629395 	0 	
-26.1000022888184 	0.9609375 	-26.1000022888184 	0 	
-26 	0.9609375 	-26 	0 	
-25.9000015258789 	0.9609375 	-25.9000015258789 	0 	
-25.8000030517578 	0.9609375 	-25.8000030517578 	0 	
-25.7000007629395 	0.953125 	-25.7000007629395 	0 	
-25.6000022888184 	0.953125 	-25.6000022888184 	0 	
-25.5 	0.953125 	-25.5 	0 	
-25.4000015258789 	0.9609375 	-25.4000015258789 	0 	
-25.3000030517578 	0.96484375 	-25.3000030517578 	0 	
-25.2000007629395 	0.95703125 	-25.2000007629395 	0 	
-25.1000022888184 	0.9609375 	-25.1000022888184 	0 	
-25 	0.953125 	-25 	0 	
-24.9000015258789 	0.953125 	-24.9000015258789 	0 	
-24.8000030517578 	0.953125 	-24.8000030517578 	0 	
-24.7000007629395 	0.953125 	-24.7000007629395 	0 	
-24.6000022888184 	0.953125 	-24.6000022888184 	0 	
-24.5 	0.953125 	-24.5 	0 	
-24.4000015258789 	0.953125 	-24.4000015258789 	0 	
-24.3000030517578 	0.953125 	-24.3000030517578 	0 	
-24.2000007629395 	0.9453125 	-24.2000007629395 	0 	
-24.1000022888184 	0.9453125 	-24.1000022888184 	0 	
-24 	0.93359375 	-24 	0 	
-23.9000015258789 	0.93359375 	-23.9000015258789 	0 	
-23.8000030517578 	0.93359375 	-23.8000030517578 	0 	
-23.7000007629395 	0.93359375 	-23.7000007629395 	0 	
-23.6000022888184 	0.93359375 	-23.6000022888184 	0 	
-23.5 	0.921875 	-23.5 	0 	
-23.4000015258789 	0.921875 	-23.4000015258789 	0 	
-23.3000030517578 	0.921875 	-23.3000030517578 	0 	
-23.2000007629395 	0.921875 	-23.2000007629395 	0 	
-23.1000022888184 	0.91796875 	-23.1000022888184 	0 	
-23 	0.921875 	-23 	0 	
-22.9000015258789 	0.921875 	-22.9000015258789 	0 	
-22.8000030517578 	0.921875 	-22.8000030517578 	0 	
-22.7000007629395 	0.921875 	-22.7000007629395 	0 	
-22.6000022888184 	0.9296875 	-22.6000022888184 	0 	
-22.5 	0.921875 	-22.5 	0 	
-22.4000015258789 	0.9140625 	-22.4000015258789 	0 	
-22.3000030517578 	0.91796875 	-22.3000030517578 	0 	
-22.2000007629395 	0.921875 	-22.2000007629395 	0 	
-22.1000022888184 	0.91015625 	-22.1000022888184 	0 	
-22 	0.91796875 	-22 	0 	
-21.9000015258789 	0.9140625 	-21.9000015258789 	0 	
-21.8000030517578 	0.9140625 	-21.8000030517578 	0 	
-21.7000007629395 	0.921875 	-21.7000007629395 	0 	
-21.6000022888184 	0.9140625 	-21.6000022888184 	0 	
-21.5 	0.91796875 	-21.5 	0 	
-21.4000015258789 	0.91015625 	-21.4000015258789 	0 	
-21.3000030517578 	0.90234375 	-21.3000030517578 	0 	
-21.2000007629395 	0.90234375 	-21.2000007629395 	0 	
-21.1000022888184 	0.90234375 	-21.1000022888184 	0 	
-21 	0.90234375 	-21 	0 	
-20.9000015258789 	0.890625 	-20.9000015258789 	0 	
-20.8000030517578 	0.8984375 	-20.8000030517578 	0 	
-20.7000007629395 	0.90625 	-20.7000007629395 	0 	
-20.6000022888184 	0.90234375 	-20.6000022888184 	0 	
-20.5 	0.90234375 	-20.5 	0 	
-20.4000015258789 	0.90234375 	-20.4000015258789 	0 	
-20.3000030517578 	0.90234375 	-20.3000030517578 	0 	
-20.2000007629395 	0.8984375 	-20.2000007629395 	0 	
-20.1000022888184 	0.90234375 	-20.1000022888184 	0 	
-20 	0.90234375 	-20 	0 	
-19.9000015258789 	0.90234375 	-19.9000015258789 	0 	
-19.8000030517578 	0.90625 	-19.8000030517578 	0 	
-19.7000007629395 	0.91015625 	-19.7000007629395 	0 	
-19.6000022888184 	0.9140625 	-19.6000022888184 	0 	
-19.5 	0.9140625 	-19.5 	0 	
-19.4000015258789 	0.90625 	-19.4000015258789 	0 	
-19.3000030517578 	0.90234375 	-19.3000030517578 	0 	
-19.2000007629395 	0.890625 	-19.2000007629395 	0 	
-19.1000022888184 	0.8984375 	-19.1000022888184 	0 	
-19 	0.890625 	-19 	0 	
-18.9000015258789 	0.8828125 	-18.9000015258789 	0 	
-18.8000030517578 	0.890625 	-18.8000030517578 	0 	
-18.7000007629395 	0.88671875 	-18.7000007629395 	0 	
-18.6000022888184 	0.890625 	-18.6000022888184 	0 	
-18.5 	0.890625 	-18.5 	0 	
-18.4000015258789 	0.8828125 	-18.4000015258789 	0 	
-18.3000030517578 	0.890625 	-18.3000030517578 	0 	
-18.2000007629395 	0.8828125 	-18.2000007629395 	0 	
-18.1000022888184 	0.875 	-18.1000022888184 	0 	
-18 	0.87890625 	-18 	0 	
-17.9000015258789 	0.87109375 	-17.9000015258789 	0 	
-17.8000030517578 	0.87109375 	-17.8000030517578 	0 	
-17.7000007629395 	0.87109375 	-17.7000007629395 	0 	
-17.6000022888184 	0.86328125 	-17.6000022888184 	0 	
-17.5 	0.86328125 	-17.5 	0 	
-17.4000015258789 	0.86328125 	-17.4000015258789 	0 	
-17.3000030517578 	0.85546875 	-17.3000030517578 	0 	
-17.2000007629395 	0.8515625 	-17.2000007629395 	0 	
-17.1000022888184 	0.8515625 	-17.1000022888184 	0 	
-17 	0.84765625 	-17 	0 	
-16.9000015258789 	0.8515625 	-16.9000015258789 	0 	
-16.8000030517578 	0.84375 	-16.8000030517578 	0 	
-16.7000007629395 	0.83203125 	-16.7000007629395 	0 	
-16.6000022888184 	0.83203125 	-16.6000022888184 	0 	
-16.5 	0.83984375 	-16.5 	0 	
-16.4000015258789 	0.84375 	-16.4000015258789 	0 	
-16.3000030517578 	0.84375 	-16.3000030517578 	0 	
-16.2000007629395 	0.8359375 	-16.2000007629395 	0 	
-16.1000022888184 	0.828125 	-16.1000022888184 	0 	
-16 	0.8203125 	-16 	0 	
-15.9000015258789 	0.8203125 	-15.9000015258789 	0 	
-15.8000030517578 	0.8125 	-15.8000030517578 	0 	
-15.7000007629395 	0.8125 	-15.7000007629395 	0 	
-15.6000022888184 	0.79296875 	-15.6000022888184 	0 	
-15.5 	0.79296875 	-15.5 	0 	
-15.4000015258789 	0.78125 	-15.4000015258789 	0 	
-15.3000030517578 	0.78125 	-15.3000030517578 	0 	
-15.2000007629395 	0.7734375 	-15.2000007629395 	0 	
-15.1000022888184 	0.7734375 	-15.1000022888184 	0 	
-15 	0.76171875 	-15 	0 	
-14.9000015258789 	0.76953125 	-14.9000015258789 	0 	
-14.8000030517578 	0.765625 	-14.8000030517578 	0 	
-14.7000007629395 	0.765625 	-14.7000007629395 	0 	
-14.6000022888184 	0.75390625 	-14.6000022888184 	0 	
-14.5 	0.75390625 	-14.5 	0 	
-14.4000015258789 	0.7421875 	-14.4000015258789 	0 	
-14.3000030517578 	0.7421875 	-14.3000030517578 	0 	
-14.2000007629395 	0.74609375 	-14.2000007629395 	0 	
-14.1000022888184 	0.75 	-14.1000022888184 	0 	
-14 	0.75 	-14 	0 	
-13.9000015258789 	0.7421875 	-13.9000015258789 	0 	
-13.8000030517578 	0.7421875 	-13.8000030517578 	0 	
-13.7000007629395 	0.7421875 	-13.7000007629395 	0 	
-13.6000022888184 	0.73046875 	-13.6000022888184 	0 	
-13.5 	0.73046875 	-13.5 	0 	
-13.4000015258789 	0.73046875 	-13.4000015258789 	0 	
