Run 1; Fc 3-1; Cy 3; RPA; Conc 0.04572474 0.1371742 0.4115226 1.234568 3.703704 11.11111 33.33333 100 nM_X 	Run 1; Fc 3-1; Cy 3; RPA; Conc 0.04572474 0.1371742 0.4115226 1.234568 3.703704 11.11111 33.33333 100 nM_Y 	Run 1; Fc 3-1; Cy 3; RPA; Conc 0.04572474 0.1371742 0.4115226 1.234568 3.703704 11.11111 33.33333 100 nM; Fitted_X 	Run 1; Fc 3-1; Cy 3; RPA; Conc 0.04572474 0.1371742 0.4115226 1.234568 3.703704 11.11111 33.33333 100 nM; Fitted_Y 	
-31.7999992370605 	0.585999999999331 	-31.7999992370605 	0 	
-31.6999988555908 	0.400299999997515 	-31.6999988555908 	0 	
-31.5999984741211 	0.335399999999936 	-31.5999984741211 	0 	
-31.5 	0.502699999997276 	-31.5 	0 	
-31.3999996185303 	0.625800000001618 	-31.3999996185303 	0 	
-31.2999992370605 	0.679199999998673 	-31.2999992370605 	0 	
-31.1999988555908 	0.750299999999697 	-31.1999988555908 	0 	
-31.0999984741211 	0.847099999999045 	-31.0999984741211 	0 	
-31 	0.979600000002392 	-31 	0 	
-30.8999996185303 	1.04219999999987 	-30.8999996185303 	0 	
-30.7999992370605 	1.05659999999989 	-30.7999992370605 	0 	
-30.6999988555908 	1.06690000000162 	-30.6999988555908 	0 	
-30.5999984741211 	1.18960000000152 	-30.5999984741211 	0 	
-30.5 	1.47169999999824 	-30.5 	0 	
-30.3999996185303 	1.82300000000032 	-30.3999996185303 	0 	
-30.2999992370605 	2.1160000000018 	-30.2999992370605 	0 	
-30.1999988555908 	2.43809999999939 	-30.1999988555908 	0 	
-30.0999984741211 	2.72550000000047 	-30.0999984741211 	0 	
-30 	2.89949999999953 	-30 	0 	
-29.8999996185303 	3.10609999999724 	-29.8999996185303 	0 	
-29.7999992370605 	3.11579999999958 	-29.7999992370605 	0 	
-29.6999988555908 	2.89979999999923 	-29.6999988555908 	0 	
-29.5999984741211 	2.70880000000034 	-29.5999984741211 	0 	
-29.5 	2.54829999999856 	-29.5 	0 	
-29.3999996185303 	2.42629999999917 	-29.3999996185303 	0 	
-29.2999992370605 	2.28180000000066 	-29.2999992370605 	0 	
-29.1999988555908 	2.16300000000047 	-29.1999988555908 	0 	
-29.0999984741211 	2.02410000000236 	-29.0999984741211 	0 	
-29 	1.89350000000195 	-29 	0 	
-28.8999996185303 	1.75929999999789 	-28.8999996185303 	0 	
-28.7999992370605 	1.61059999999998 	-28.7999992370605 	0 	
-28.6999988555908 	1.49950000000172 	-28.6999988555908 	0 	
-28.5999984741211 	1.45230000000083 	-28.5999984741211 	0 	
-28.5 	1.40079999999944 	-28.5 	0 	
-28.3999996185303 	1.34330000000045 	-28.3999996185303 	0 	
-28.2999992370605 	1.34330000000045 	-28.2999992370605 	0 	
-28.1999988555908 	1.33510000000024 	-28.1999988555908 	0 	
-28.0999984741211 	1.34679999999935 	-28.0999984741211 	0 	
-28 	1.38839999999618 	-28 	0 	
-27.8999996185303 	1.43739999999889 	-27.8999996185303 	0 	
-27.7999992370605 	1.47040000000197 	-27.7999992370605 	0 	
-27.6999988555908 	1.50959999999759 	-27.6999988555908 	0 	
-27.5999984741211 	1.54249999999956 	-27.5999984741211 	0 	
-27.5 	1.55729999999676 	-27.5 	0 	
-27.3999996185303 	1.55810000000201 	-27.3999996185303 	0 	
-27.2999992370605 	1.5570000000007 	-27.2999992370605 	0 	
-27.1999988555908 	1.55569999999716 	-27.1999988555908 	0 	
-27.0999984741211 	1.55049999999756 	-27.0999984741211 	0 	
-27 	1.53570000000036 	-27 	0 	
-26.8999996185303 	1.4948000000004 	-26.8999996185303 	0 	
-26.7999992370605 	1.4364999999998 	-26.7999992370605 	0 	
-26.6999988555908 	1.37389999999868 	-26.6999988555908 	0 	
-26.5999984741211 	1.3198999999986 	-26.5999984741211 	0 	
-26.5 	1.26190000000133 	-26.5 	0 	
-26.3999996185303 	1.19659999999931 	-26.3999996185303 	0 	
-26.2999992370605 	1.13700000000244 	-26.2999992370605 	0 	
